event_id,historical_supported_count,historical_supported_hits,sector_proxy_count,sector_proxy_hits,inference_only_count,inference_only_hits
v3_20250404_china_rare_earth_export_controls,0,0,12,8,0,0
v3_20250225_copper_import_investigation,0,0,10,0,2,0
v3_20240624_eu_russian_lng_transshipment_ban,2,0,12,0,0,0
v3_20240306_true_confidence_attack,6,0,10,0,0,0
v3_20241203_iran_shadow_fleet_sanctions,4,0,12,1,6,0
v3_20240223_sovcomflot_sanctions,6,1,10,0,2,0
v3_20240913_ustr_section301_tariffs_final,0,0,10,1,2,0
v3_20250730_copper_tariffs,0,0,12,3,4,0
v3_20240821_sounion_tanker_attack,8,0,8,0,0,0
v3_20250110_us_russia_oil_sanctions,6,4,10,0,2,0
v3_20250224_eu_16th_russia_sanctions,6,0,12,3,0,0
v3_20250201_canada_mexico_china_tariffs,0,0,12,1,0,0
