scope,evidence_level,confidence,linkage_tier,evaluated,hits,hit_rate,mean_abs_SCAR,median_abs_SCAR,max_abs_SCAR
all,historical_supported,0.8200000000,direct_exposure,29,4,0.1379310345,1.1121002442,0.9148813956,3.6336565266
all,historical_supported,0.8200000000,related_exposure,7,1,0.1428571429,1.4201805084,1.1897356098,2.9175517973
all,historical_supported,0.8200000000,broad_proxy,2,0,0.0000000000,0.4476599764,0.4476599764,0.6400631837
all,sector_proxy,0.6400000000,direct_exposure,43,3,0.0697674419,0.8239425865,0.6190034814,2.8067338929
all,sector_proxy,0.6400000000,related_exposure,56,7,0.1250000000,0.9584699681,0.6718191053,5.6157685083
all,sector_proxy,0.6400000000,broad_proxy,31,7,0.2258064516,1.0725915810,0.8399213247,2.8714878165
all,inference_only,0.3500000000,direct_exposure,6,0,0.0000000000,0.6513457032,0.5995013601,1.1434124697
all,inference_only,0.3500000000,related_exposure,10,0,0.0000000000,0.5597976303,0.3926128371,1.6674957933
all,inference_only,0.3500000000,broad_proxy,2,0,0.0000000000,0.3501440043,0.3501440043,0.6081467423
second_order,historical_supported,0.8200000000,direct_exposure,6,2,0.3333333333,1.4540345526,0.7972305065,3.6336565266
second_order,historical_supported,0.8200000000,related_exposure,0,0,,,,
second_order,historical_supported,0.8200000000,broad_proxy,0,0,,,,
second_order,sector_proxy,0.6400000000,direct_exposure,17,0,0.0000000000,0.8690644233,0.7844753819,1.8371809028
second_order,sector_proxy,0.6400000000,related_exposure,14,2,0.1428571429,0.9126586136,0.7626539135,2.2939824202
second_order,sector_proxy,0.6400000000,broad_proxy,17,4,0.2352941176,0.8674698094,0.5064811880,2.3747642563
second_order,inference_only,0.3500000000,direct_exposure,0,0,,,,
second_order,inference_only,0.3500000000,related_exposure,0,0,,,,
second_order,inference_only,0.3500000000,broad_proxy,0,0,,,,
