event_id,georisk_evaluated,georisk_had_at_least_one_hit,georisk_hits,node_only_evaluated,node_only_had_at_least_one_hit,node_only_hits,random_baseline_mean_hits
v3_20250404_china_rare_earth_export_controls,12,True,8,10,True,7,7.704
v3_20250225_copper_import_investigation,12,False,0,10,False,0,0.314
v3_20240624_eu_russian_lng_transshipment_ban,14,False,0,10,False,0,0.702
v3_20240306_true_confidence_attack,16,False,0,14,False,0,0.783
v3_20241203_iran_shadow_fleet_sanctions,22,True,1,14,False,0,1.774
v3_20240223_sovcomflot_sanctions,18,True,1,10,True,1,0.687
v3_20240913_ustr_section301_tariffs_final,12,True,1,10,True,1,0.0
v3_20250730_copper_tariffs,16,True,3,10,True,2,1.639
v3_20240821_sounion_tanker_attack,16,False,0,14,False,0,0.0
v3_20250110_us_russia_oil_sanctions,18,True,4,10,True,2,3.172
v3_20250224_eu_16th_russia_sanctions,18,True,3,10,False,0,1.484
v3_20250201_canada_mexico_china_tariffs,12,True,1,10,True,1,0.38
