evaluated,hit_rate,hits,max_abs_SCAR,mean_abs_SCAR,median_abs_SCAR,run_id,scope,skipped
185,0.11891891891891893,22,6.691101557193222,0.9540265350251605,0.6941747337012587,0,all,1
131,0.06870229007633588,9,5.379663780555674,0.8808512613503447,0.6469102300243715,0,first_order,1
54,0.07407407407407407,4,3.0203453616877467,0.8603700998244842,0.7073771781356071,0,second_order,0
185,0.08648648648648649,16,4.255759867545777,0.8541235729523815,0.6277787234527006,1,all,1
132,0.09090909090909091,12,7.402504941276007,0.8908047292384716,0.6302964399186914,1,first_order,0
53,0.1320754716981132,7,4.255759867545777,1.044387321466505,0.9127454019583745,1,second_order,1
185,0.0972972972972973,18,5.164087683548203,0.8880448562938296,0.7258874944079705,2,all,1
132,0.07575757575757576,10,5.185106371957386,0.8233030927291632,0.5747150191710233,2,first_order,0
54,0.07407407407407407,4,2.6765087628827327,0.8638403778789825,0.7325504347243472,2,second_order,0
186,0.07526881720430108,14,6.107143258536974,0.8396454336347643,0.6018035396489931,3,all,0
132,0.08333333333333333,11,5.263562138717859,0.8590736968960082,0.6434639331113682,3,first_order,0
54,0.037037037037037035,2,2.262851964485877,0.8006700028675553,0.7090193291451716,3,second_order,0
185,0.10810810810810811,20,7.402504941276007,0.9556023315777552,0.7271535680304384,4,all,1
132,0.10606060606060606,14,5.799280119074019,0.9458054692260447,0.6413149617246581,4,first_order,0
53,0.1320754716981132,7,3.863592381570207,0.903048172073956,0.6641446718579378,4,second_order,1
185,0.11351351351351352,21,5.293386789610306,0.9086625391947268,0.6182894606018712,5,all,1
132,0.10606060606060606,14,5.799280119074019,0.8326908557311069,0.6189049725827328,5,first_order,0
54,0.05555555555555555,3,3.5062365470376697,0.8698145828923215,0.7438639567783597,5,second_order,0
186,0.10215053763440861,19,4.840509145429005,0.8987064277012324,0.7481159308640725,6,all,0
132,0.11363636363636363,15,5.263562138717859,0.9972677203891193,0.7506587968296283,6,first_order,0
54,0.09259259259259259,5,5.164087683548203,0.8828452610972403,0.6479617480381794,6,second_order,0
186,0.12903225806451613,24,6.107143258536974,0.9353607034701086,0.6411612347403961,7,all,0
132,0.09848484848484848,13,5.379663780555674,0.9304212558006255,0.6860402730071415,7,first_order,0
54,0.05555555555555555,3,6.107143258536974,0.9478672434840274,0.6453203433060087,7,second_order,0
184,0.08152173913043478,15,4.824738588056284,0.87131048136231,0.6858773401493041,8,all,2
132,0.09090909090909091,12,6.691101557193222,0.8800529706253523,0.664392663293806,8,first_order,0
54,0.05555555555555555,3,3.31680671442054,0.6839992944546119,0.5202370874832015,8,second_order,0
185,0.08108108108108109,15,6.107143258536974,0.8493760891142251,0.6469102300243715,9,all,1
132,0.11363636363636363,15,5.293386789610306,0.900917799268072,0.6259002263137201,9,first_order,0
53,0.1320754716981132,7,4.182276018096301,1.0580815442000164,0.9173431887577475,9,second_order,1
184,0.08695652173913043,16,4.182276018096301,0.8893653229347582,0.6670859332867578,10,all,2
132,0.11363636363636363,15,5.293386789610306,0.9534850155408529,0.7459478751135054,10,first_order,0
54,0.07407407407407407,4,4.255759867545777,0.8703409825597069,0.6793336257395397,10,second_order,0
185,0.10270270270270271,19,4.824738588056284,0.903976936023533,0.7258874944079705,11,all,1
132,0.07575757575757576,10,6.691101557193222,0.8115109398073236,0.5452627123992206,11,first_order,0
54,0.1111111111111111,6,5.6157714726161645,1.0849033151843106,0.7502262178085901,11,second_order,0
185,0.11351351351351352,21,6.107143258536974,0.9329556507958142,0.659677293414314,12,all,1
131,0.11450381679389313,15,7.402504941276007,0.9241593073981228,0.6050596726912554,12,first_order,1
53,0.16981132075471697,9,5.263562138717859,1.1342552006292645,0.9172576750278446,12,second_order,1
184,0.10326086956521739,19,5.185106371957386,0.9096247182236491,0.7265205312192045,13,all,2
132,0.09848484848484848,13,5.164087683548203,0.8949591794201037,0.7345754996501217,13,first_order,0
54,0.07407407407407407,4,5.263562138717859,0.8759820109683073,0.6558873904773777,13,second_order,0
185,0.13513513513513514,25,5.379663780555674,0.9679438514058397,0.6834958800693878,14,all,1
132,0.12878787878787878,17,5.185106371957386,0.9295171063271331,0.5954323724116488,14,first_order,0
54,0.05555555555555555,3,2.2908078685667674,0.7500294437391414,0.5296037471287813,14,second_order,0
