node,candidate_count,historical_supported_count,sector_proxy_count,likely_useful,borderline,likely_noise,unclear,noise_rate,useful_rate
defense,20,0,20,0,16,4,0,0.2,0.0
energy,18,0,18,0,6,12,0,0.6666666666666666,0.0
logistics,18,0,18,0,10,8,0,0.4444444444444444,0.0
trade_lanes,16,0,16,0,2,14,0,0.875,0.0
maritime_chokepoint,14,6,8,0,8,6,0,0.42857142857142855,0.0
aviation,14,0,14,0,10,4,0,0.2857142857142857,0.0
financial_sanctions,12,0,12,0,6,6,0,0.5,0.0
marine_insurance,12,0,12,0,8,4,0,0.3333333333333333,0.0
customs,10,0,10,0,6,4,0,0.4,0.0
freight_routes,8,0,8,0,6,2,0,0.25,0.0
critical_minerals,8,0,8,0,8,0,0,0.0,0.0
payment_networks,6,0,6,0,6,0,0,0.0,0.0
food_export_controls,4,0,4,0,4,0,0,0.0,0.0
grain_exports,3,0,3,0,3,0,0,0.0,0.0
aerospace_supply_chain,2,0,2,0,2,0,0,0.0,0.0
agriculture,2,0,2,0,2,0,0,0.0,0.0
manufacturing_inputs,2,0,2,0,2,0,0,0.0,0.0
