node,baseline_candidates,baseline_noise,baseline_borderline,baseline_historical_supported,A_mechanism_consistency_retained,A_mechanism_consistency_removed,A_mechanism_consistency_noise_retained,A_mechanism_consistency_borderline_retained,B_support_count_gte3_retained,B_support_count_gte3_removed,B_support_count_gte3_noise_retained,B_support_count_gte3_borderline_retained,C_combined_retained,C_combined_removed,C_combined_noise_retained,C_combined_borderline_retained
trade_lanes,16,14,2,0,2,14,0,2,4,12,4,0,0,16,0,0
energy,18,12,6,0,6,12,0,6,8,10,6,2,2,16,0,2
logistics,18,8,10,0,8,10,0,8,8,10,2,6,4,14,0,4
financial_sanctions,12,6,6,0,4,8,0,4,4,8,0,4,2,10,0,2
maritime_chokepoint,14,6,8,6,4,10,0,4,8,6,2,6,4,10,0,4
customs,10,4,6,0,2,8,0,2,8,2,4,4,0,10,0,0
marine_insurance,12,4,8,0,8,4,0,8,6,6,4,2,2,10,0,2
aviation,14,4,10,0,8,6,0,8,6,8,2,4,2,12,0,2
freight_routes,8,2,6,0,6,2,0,6,2,6,0,2,2,6,0,2
defense,20,4,16,0,8,12,0,8,14,6,4,10,8,12,0,8
