simulation,event_id,node,ticker,supporting_case_count,mechanism_consistency,candidate_quality,removal_reason
A_mechanism_consistency,eval_cyber_port_pipeline_disruption,maritime_chokepoint,BOAT,2,mixed,borderline,broad node mechanism not consistent
A_mechanism_consistency,eval_cyber_port_pipeline_disruption,maritime_chokepoint,MATX,2,mixed,borderline,broad node mechanism not consistent
A_mechanism_consistency,eval_uranium_nuclear_fuel_disruption,maritime_chokepoint,BOAT,4,weak_cooccurrence,likely_noise,broad node mechanism not consistent
A_mechanism_consistency,eval_uranium_nuclear_fuel_disruption,maritime_chokepoint,MATX,4,weak_cooccurrence,likely_noise,broad node mechanism not consistent
A_mechanism_consistency,hard_cyber_infrastructure_indirect,maritime_chokepoint,BOAT,3,mixed,borderline,broad node mechanism not consistent
A_mechanism_consistency,hard_cyber_infrastructure_indirect,maritime_chokepoint,MATX,3,mixed,borderline,broad node mechanism not consistent
B_support_count_gte3,eval_cyber_port_pipeline_disruption,maritime_chokepoint,BOAT,2,mixed,borderline,broad node support_count < 3
B_support_count_gte3,eval_cyber_port_pipeline_disruption,maritime_chokepoint,MATX,2,mixed,borderline,broad node support_count < 3
C_combined,eval_cyber_port_pipeline_disruption,maritime_chokepoint,BOAT,2,mixed,borderline,broad node mechanism not consistent; broad node support_count < 3
C_combined,eval_cyber_port_pipeline_disruption,maritime_chokepoint,MATX,2,mixed,borderline,broad node mechanism not consistent; broad node support_count < 3
C_combined,eval_uranium_nuclear_fuel_disruption,maritime_chokepoint,BOAT,4,weak_cooccurrence,likely_noise,broad node mechanism not consistent
C_combined,eval_uranium_nuclear_fuel_disruption,maritime_chokepoint,MATX,4,weak_cooccurrence,likely_noise,broad node mechanism not consistent
C_combined,hard_cyber_infrastructure_indirect,maritime_chokepoint,BOAT,3,mixed,borderline,broad node mechanism not consistent
C_combined,hard_cyber_infrastructure_indirect,maritime_chokepoint,MATX,3,mixed,borderline,broad node mechanism not consistent
