event_id,instances,weak_cases,weak_rejected,weak_rejection_rate,non_weak_cases,non_weak_retained,non_weak_retention_rate
v3_20240223_sovcomflot_sanctions,6,1,1,1.0,5,5,1.0
eval_panama_canal_drought_shipping,5,1,1,1.0,4,4,1.0
hard_hormuz_ambiguous_energy_shipping,5,1,1,1.0,4,4,1.0
eval_defense_supply_chain_escalation,4,4,3,0.75,0,0,
eval_middle_east_oil_infrastructure_attack,4,1,0,0.0,3,3,1.0
eval_russia_europe_gas_disruption,4,1,1,1.0,3,3,1.0
eval_suez_canal_blockage,4,0,0,,4,4,1.0
hard_semiconductor_controls_paraphrased,4,2,2,1.0,2,1,0.5
eval_dutch_asml_export_controls,3,1,1,1.0,2,1,0.5
eval_huawei_entity_list,3,2,1,0.5,1,0,0.0
eval_opec_oil_policy_shock,3,0,0,,3,3,1.0
eval_red_sea_shipping_disruption,3,1,1,1.0,2,2,1.0
eval_semiconductor_export_controls,3,2,1,0.5,1,0,0.0
eval_uranium_nuclear_fuel_disruption,3,3,1,0.3333333333333333,0,0,
hard_cyber_infrastructure_indirect,3,0,0,,3,3,1.0
v3_20240306_true_confidence_attack,3,0,0,,3,3,1.0
eval_china_graphite_battery_controls,2,0,0,,2,2,1.0
eval_cyber_port_pipeline_disruption,2,1,1,1.0,1,1,1.0
eval_food_export_grain_restriction,2,1,1,1.0,1,1,1.0
eval_natural_gas_fertilizer_shock,2,0,0,,2,2,1.0
eval_rare_earth_critical_minerals_controls,2,1,1,1.0,1,1,1.0
eval_us_china_tariffs,2,0,0,,2,2,1.0
hard_taiwan_semiconductor_indirect,2,1,1,1.0,1,1,1.0
v3_20240821_sounion_tanker_attack,2,1,1,1.0,1,1,1.0
v3_20250224_eu_16th_russia_sanctions,2,1,1,1.0,1,1,1.0
v3_20250225_copper_import_investigation,2,1,1,1.0,1,1,1.0
eval_black_sea_grain_export_disruption,1,1,1,1.0,0,0,
eval_taiwan_strait_semiconductor_risk,1,1,1,1.0,0,0,
v3_20240913_ustr_section301_tariffs_final,1,0,0,,1,1,1.0
v3_20250110_us_russia_oil_sanctions,1,1,1,1.0,0,0,
v3_20250201_canada_mexico_china_tariffs,1,1,1,1.0,0,0,
v3_20250404_china_rare_earth_export_controls,1,1,1,1.0,0,0,
