node,instances,weak_cases,weak_rejected,weak_rejection_rate,non_weak_cases,non_weak_retained,non_weak_retention_rate
defense,10,2,0,0.0,8,8,1.0
energy,9,6,6,1.0,3,3,1.0
logistics,9,4,3,0.75,5,5,1.0
trade_lanes,8,7,7,1.0,1,1,1.0
aviation,7,2,1,0.5,5,5,1.0
maritime_chokepoint,7,3,2,0.6666666666666666,4,4,1.0
financial_sanctions,6,3,3,1.0,3,3,1.0
marine_insurance,6,2,1,0.5,4,4,1.0
customs,5,2,2,1.0,3,3,1.0
critical_minerals,4,0,0,,4,0,0.0
freight_routes,4,1,1,1.0,3,3,1.0
grain_exports,3,0,0,,3,3,1.0
payment_networks,3,0,0,,3,3,1.0
food_export_controls,2,0,0,,2,2,1.0
aerospace_supply_chain,1,0,0,,1,1,1.0
agriculture,1,0,0,,1,1,1.0
manufacturing_inputs,1,0,0,,1,1,1.0
